Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
druginfo2,study_specific_documents,,file,Package Insert/Investigator Brochure,,,,,,,[numdrugs] > '1',,,,,,
namedrug3,study_specific_documents,<h1>Drug 3</h1>,text,Name,,,,,,,[numdrugs] > '2',,,,,,
druginfo3,study_specific_documents,,file,Package Insert/Investigator Brochure,,,,,,,[numdrugs] > '2',,,,,,
namedrug4,study_specific_documents,<h1>Drug 4</h1>,text,Name,,,,,,,[numdrugs] > '3',,,,,,
druginfo4,study_specific_documents,,file,Package Insert/Investigator Brochure,,,,,,,[numdrugs] > '3',,,,,,
namedrug5,study_specific_documents,<h1>Drug 5</h1>,text,Name,,,,,,,[numdrugs] > '4',,,,,,
druginfo5,study_specific_documents,,file,Package Insert/Investigator Brochure,,,,,,,[numdrugs] > '4',,,,,,
numdevices,study_specific_documents,"<div class=""brown""> <h1>Devices</div></h1>",dropdown,Number of devices,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",captures information for up to 5 devices per IRB review,,,,,[quesfdaproduct(2)] = '1' or [quefdaproductamecr(2)] = '1',,,,,,
quedevicemgmt,study_specific_documents,,checkbox,"Who is managing shipment, receipt, accountability and storage? ","1, Site | 2, Research Pharmacy | 3, Other",check all that apply,,,,,[numdevices] > '0',,,,,,
addcommentsdevicemgmt,study_specific_documents,,text,Additional Comments,,,,,,,[quedevicemgmt(1)] = '1' or [quedevicemgmt(2)] = '1' or [quedevicemgmt(3)] = '1',,,,,,
namedevice1,study_specific_documents,<h1>Device 1</h1>,text,Name,,,,,,,[numdevices] > '0',,,,,,
deviceinfo1,study_specific_documents,,file,Device Manual/Information for Use,,,,,,,[numdevices] > '0',,,,,,
namedevice2,study_specific_documents,<h1>Device 2</h1>,text,Name,,,,,,,[numdevices] > '1',,,,,,
deviceinfo2,study_specific_documents,,file,Device Manual/Information for Use,,,,,,,[numdevices] > '1',,,,,,
namedevice3,study_specific_documents,<h1>Device 3</h1>,text,Name,,,,,,,[numdevices] > '2',,,,,,
deviceinfo3,study_specific_documents,,file,Device Manual/Information for Use,,,,,,,[numdevices] > '2',,,,,,
namedevice4,study_specific_documents,<h1>Device 4</h1>,text,Name,,,,,,,[numdevices] > '3',,,,,,
deviceinfo4,study_specific_documents,,file,Device Manual/Information for Use,,,,,,,[numdevices] > '3',,,,,,
namedevice5,study_specific_documents,<h1>Device 5</h1>,text,Name,,,,,,,[numdevices] > '4',,,,,,
deviceinfo5,study_specific_documents,,file,Device Manual/Information for Use,,,,,,,[numdevices] > '4',,,,,,
numbiologics,study_specific_documents,"<div class=""brown""> <h1>Biologics</div></h1>",dropdown,Number of biological products,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",captures information for up to 5 biological products per IRB review,,,,,[quesfdaproduct(3)] = '1' or [quefdaproductamecr(3)] = '1',,,,,,
quebiologic1,study_specific_documents,,checkbox,"Who is managing shipment, receipt, accountability and storage?","1, Site | 2, Research Pharmacy | 3, Other",check all that apply,,,,,[numbiologics] > '0',,,,,,
addcommentsbiologicmgmt,study_specific_documents,,text,Additional Comments,,,,,,,[quebiologic1(1)] = '1' or [quebiologic1(2)] = '1' or [quebiologic1(3)] = '1',,,,,,
namebiologic1,study_specific_documents,<h1>Biological Product 1</h1>,text,Name,,,,,,,[numbiologics] > '0',,,,,,
biologicinfo1,study_specific_documents,,file,Prooduct Information,,,,,,,[numbiologics] > '0',,,,,,
namebiologic2,study_specific_documents,<h1>Biological Product 2</h1>,text,Name,,,,,,,[numbiologics] > '1',,,,,,
biologicinfo2,study_specific_documents,,file,Prooduct Information,,,,,,,[numbiologics] > '1',,,,,,
namebiologic3,study_specific_documents,<h1>Biological Product 3</h1>,text,Name,,,,,,,[numbiologics] > '2',,,,,,
biologicinfo3,study_specific_documents,,file,Prooduct Information,,,,,,,[numbiologics] > '2',,,,,,
namebiologic4,study_specific_documents,<h1>Biological Product 4</h1>,text,Name,,,,,,,[numbiologics] > '3',,,,,,
biologicinfo4,study_specific_documents,,file,Prooduct Information,,,,,,,[numbiologics] > '3',,,,,,
namebiologic5,study_specific_documents,<h1>Biological Product 5</h1>,text,Name,,,,,,,[numbiologics] > '4',,,,,,
biologicinfo5,study_specific_documents,,file,Prooduct Information,,,,,,,[numbiologics] > '4',,,,,,
requirementsindide,study_specific_documents,"<div class=""red""> <h1>FDA (IND/IDE) Documents  </div></h1>",file,Institution Specific Guidance for Studies that Involve an IND/IDE,,,,,,,([investrole] = '1' or [quesfdaproduct(1)] = '1' and [quesfdaproduct(3)] = '1') or ([investrole] = '1' and [quefdaproductamecr(1)] = '1' or [quefdaproductamecr(3)] = '1'),,,,,,
fda1572,study_specific_documents,,file,FDA Form 1572,,,,,,,([investrole] = '1' or [quesfdaproduct(1)] = '1' and [quesfdaproduct(3)] = '1') or ([investrole] = '1' and [quefdaproductamecr(1)] = '1' or [quefdaproductamecr(3)] = '1'),,,,,,
investagreement,study_specific_documents,,file,Investigator Agreement,,,,,,,([investrole] = '1' and [quesfdaproduct(2)] = '1') or ([investrole] = '1' and [quefdaproductamecr(2)] = '1'),,,,,,
requirementsdsmb,study_specific_documents,"<div class=""red""> <h1>DSMB </div></h1>",file,Institution Specific Guidance for Studies that Involve a DSMB,,,,,,,[quesdsmb] = '1',,,,,,
copydsmbcharter,study_specific_documents,,file,Upload DSMB Charter,,,,,,,[quesdsmb] = '1' or [quesamecrchanges(3)] = '1',,,,,,
copydsmbrpt,study_specific_documents,,file,Upload DSMB Report,,,,,,,([doctype] = 'CR' or [doctype] = 'OE' ) and [quesdsmb] = '1',,,,,,
copydsmbcorr,study_specific_documents,,file,Other DSMB correspondence,,,,,,,[quesdsmb] = '1',,,,,,
